City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
421,oranjemund,-28.55,16.4333,15.06,92,10,4.8,NA,1708577049
422,zheleznogorsk-ilimskiy,56.5768,104.1217,-15.91,83,33,0.45,RU,1708577049
423,polovinnoye,54.7914,65.9864,-25.89,86,76,2.05,RU,1708577049
424,mboursou lere,9.7639,14.1539,24.79,18,40,1.46,TD,1708577050
425,levuka,50.1834,-105.4011,-8.16,92,25,3.22,CA,1708577050
426,trincomalee,8.5711,81.2335,26.84,73,9,2.05,LK,1708576929
427,wailea,19.8858,-155.123,22.57,82,0,2.06,US,1708577050
428,hilo,19.7297,-155.09,22.85,79,0,2.06,US,1708577050
429,tara,56.8944,74.371,-22.63,80,98,3.42,RU,1708577051
430,amungan,15.3652,119.9582,31.3,46,7,3.73,PH,1708577051
431,belyy yar,53.6039,91.3903,-23.06,77,40,2.0,RU,1708577051
432,kathmandu,27.7167,85.3167,17.12,48,75,1.03,NP,1708576513
433,sirte,31.2089,16.5887,12.82,79,98,3.43,LY,1708577051
434,andovoranto,-18.95,49.1,26.19,74,98,1.49,MG,1708577052
435,mawlamyinegyunn,16.3833,95.2667,32.55,32,3,3.15,MM,1708577052
436,kurchatov,51.6601,35.6521,0.23,99,100,2.2,RU,1708577052
437,adrar,20.5022,-10.0711,16.53,25,88,7.55,MR,1708577053
438,tangalle,6.024,80.7911,29.09,61,87,3.56,LK,1708577053
439,rio gallegos,-51.6226,-69.2181,10.03,87,100,5.66,AR,1708577053
440,gaiman,-43.2897,-65.4929,25.76,25,99,9.48,AR,1708577054
441,magadan,59.5667,150.8,-17.87,72,35,3.05,RU,1708577054
442,victorica,-36.2151,-65.4359,23.47,67,70,1.08,AR,1708577054
443,saint-leu,-21.15,55.2833,26.46,76,100,7.78,RE,1708577054
444,kaoma,-14.7833,24.8,17.42,71,2,1.96,ZM,1708577054
445,ebaye,8.7748,167.7392,29.01,79,75,8.23,MH,1708577054
446,griffith,41.5284,-87.4237,13.07,81,100,1.54,US,1708577055
447,ahmadpur sial,30.6754,71.7483,18.86,24,0,2.28,PK,1708577055
448,taulaga,-11.0553,-171.0883,29.54,70,89,2.48,AS,1708577055
449,amuntai,-2.4177,115.2494,30.34,68,100,0.03,ID,1708577055
450,qaqortoq,60.7167,-46.0333,-9.07,74,84,11.96,GL,1708577055
451,banes,20.9625,-75.7186,21.35,54,28,4.65,CU,1708577056
452,abaza,52.655,90.0928,-14.77,74,100,0.69,RU,1708577056
453,igrim,63.1906,64.4162,-14.41,94,78,2.52,RU,1708577056
454,kencong,-8.2833,113.3667,31.41,66,94,4.41,ID,1708577056
455,leua,48.2156,18.6071,5.28,88,100,3.64,SK,1708577057
456,westfield,42.1251,-72.7495,-0.51,83,0,0.0,US,1708577057
457,bandarbeyla,9.4942,50.8122,27.19,74,100,7.12,SO,1708577057
458,bellavista,-7.0561,-76.5911,22.65,99,93,0.54,PE,1708577057
459,geraldton,-28.7667,114.6,31.23,35,66,10.29,AU,1708577057
460,strezhevoy,60.7333,77.5889,-22.24,94,100,3.13,RU,1708577058
461,katsuren-haebaru,26.3369,127.8719,27.43,71,100,5.14,JP,1708577058
462,balkanabat,39.5108,54.3671,5.95,70,85,1.48,TM,1708577058
463,pointe-noire,-4.7761,11.8635,27.04,89,100,1.54,CG,1708577058
464,sabang,5.8933,95.3214,28.08,75,33,3.92,ID,1708577058
465,gaspe,48.8334,-64.4819,-4.05,39,0,3.6,CA,1708576923
466,berdigestyakh,62.0989,126.6992,-18.91,92,100,4.3,RU,1708577059
467,trinidad,-14.8333,-64.9,22.59,99,100,1.75,BO,1708577059
468,rundu,-17.9333,19.7667,20.47,44,89,1.14,NA,1708577059
469,dunedin,-45.8742,170.5036,16.0,70,21,2.68,NZ,1708577060
470,jeddah,21.5169,39.2192,21.92,68,0,2.57,SA,1708577060
471,twentynine palms,34.1356,-116.0542,13.32,65,14,0.89,US,1708577060
472,ketchikan,55.3422,-131.6461,3.99,93,0,2.57,US,1708577060
473,taperoa,-7.2075,-36.8267,22.47,91,92,1.18,BR,1708577061
474,winnemucca,40.973,-117.7357,2.03,80,0,1.54,US,1708577061
475,peniscola,40.3359,0.3613,14.63,75,100,0.53,ES,1708577061
476,beloyarskiy,63.7119,66.6722,-14.44,97,95,2.24,RU,1708577061
477,lincoln city,44.9582,-124.0179,9.83,95,83,1.79,US,1708577061
478,bei'an,24.5399,109.533,5.64,80,100,5.64,CN,1708577062
479,kargasok,59.0556,80.8572,-18.37,78,100,3.17,RU,1708577062
480,guiratinga,-16.3494,-53.7583,20.89,93,73,0.89,BR,1708577063
481,mount isa,-20.7333,139.5,32.87,43,40,1.54,AU,1708577063
482,ghormach,35.7306,63.7826,4.98,58,0,1.91,AF,1708577063
483,mugia,43.1041,-9.2179,14.95,93,100,14.45,ES,1708577063
484,jahazpur,25.6167,75.2833,23.46,14,16,1.97,IN,1708577063
485,tabas,33.5959,56.9244,11.35,25,0,1.44,IR,1708577064
486,mochudi,-24.4167,26.15,22.33,41,74,2.01,BW,1708577064
487,baruun-urt,46.6806,113.2792,-20.99,72,1,3.4,MN,1708577064
488,bharatpur,27.2167,77.4833,20.95,24,55,0.91,IN,1708577064
489,siwa oasis,29.2041,25.5195,12.24,56,0,3.43,EG,1708577064
490,kajiado,-1.8524,36.7768,17.33,81,72,6.92,KE,1708577065
491,kapa'a,22.0752,-159.319,24.99,75,75,6.17,US,1708577065
492,beyneu,45.3167,55.2,-5.75,49,15,3.3,KZ,1708577065
493,hanting,36.7708,119.2108,-1.8,71,95,7.64,CN,1708577065
494,ahfir,34.9537,-2.1003,11.34,38,95,2.37,MA,1708576805
495,santa lucia,27.9117,-15.5407,13.76,77,20,6.17,ES,1708577066
496,beledweyne,4.7358,45.2036,27.28,63,100,9.12,SO,1708577066
497,inirida,3.8653,-67.9239,24.89,62,100,1.01,CO,1708577066
498,ubinskoye,55.3068,79.6802,-22.78,86,92,2.51,RU,1708577067
499,funafuti,-8.5243,179.1942,32.0,70,75,1.03,TV,1708577067
500,puerto san jose,13.9256,-90.8244,24.15,77,29,2.26,GT,1708577067
501,preobrazheniye,42.9019,133.9064,-5.41,33,1,0.98,RU,1708577067
502,erraguntla,14.6333,78.5333,30.82,25,73,3.9,IN,1708577067
503,moranbah,-22.0016,148.0466,29.88,47,100,5.48,AU,1708577068
504,pisco,-13.7,-76.2167,25.03,83,40,6.17,PE,1708577068
505,sao gabriel da cachoeira,-0.1303,-67.0892,24.6,79,72,0.42,BR,1708577068
506,sejenane,37.0572,9.2381,5.53,91,11,2.27,TN,1708577068
507,echuca,-36.1333,144.75,38.31,24,81,7.19,AU,1708577069
508,yenangyaung,20.4667,94.8833,31.29,31,46,2.55,MM,1708577069
509,colonia,50.9333,6.95,10.23,95,100,3.6,DE,1708576963
510,santa ines,-3.6667,-45.38,22.81,100,100,1.07,BR,1708577069
511,salinas,36.6777,-121.6555,11.71,91,40,2.06,US,1708576877
512,whakatane,-37.9585,176.9854,22.51,78,71,3.13,NZ,1708577070
513,caraballeda,10.6112,-66.8522,23.04,78,34,1.54,VE,1708577070
514,ilhabela,-23.7781,-45.3581,23.87,91,59,1.11,BR,1708577070
515,hobyo,5.3505,48.5268,27.73,76,100,8.54,SO,1708577070
516,urucara,-2.5364,-57.76,23.77,71,30,1.06,BR,1708577071
517,saint-pierre,-21.3393,55.4781,24.82,88,75,9.26,RE,1708577071
518,ulsteinvik,62.3432,5.8487,7.5,83,57,4.8,NO,1708577071
519,igunga,-4.2833,33.8833,22.11,82,100,0.73,TZ,1708577071
520,lebu,-37.6167,-73.65,14.12,91,100,2.6,CL,1708577071
521,sete,43.4018,3.6966,10.92,63,100,3.25,FR,1708577072
522,bangassou,4.7413,22.8184,21.59,33,100,0.96,CF,1708577072
523,kwang binh,17.4833,106.6,27.84,73,1,3.85,VN,1708577072
524,grand falls-windsor,48.9332,-55.6649,-13.61,81,17,3.1,CA,1708577011
